method,document_id,split,gold_mentions,predicted_spans,span_tp,span_fp,span_fn,per_percent,text_retention,ocr_token_count,latency_ms
OCR + regex masking,sroie_test_0011,test,1,15,0,15,1,100.0,0.888,59,1538.2
OCR + generic de-identification,sroie_test_0011,test,1,43,1,42,0,0.0,0.350,59,1538.2
OCR + Presidio receipt de-identification,sroie_test_0011,test,1,47,1,46,0,0.0,0.284,59,1538.2
OCR + spaCy receipt de-identification,sroie_test_0011,test,1,52,1,51,0,0.0,0.196,59,1538.2
Proposed multimodal mediation,sroie_test_0011,test,1,43,1,42,0,0.0,0.350,59,1538.2
Raw OCR text prompt,sroie_test_0012,test,0,0,0,0,0,0.0,1.000,48,1531.8
OCR + regex masking,sroie_test_0012,test,0,11,0,11,0,0.0,0.923,48,1531.8
OCR + generic de-identification,sroie_test_0012,test,0,31,0,31,0,0.0,0.339,48,1531.8
OCR + Presidio receipt de-identification,sroie_test_0012,test,0,33,0,33,0,0.0,0.275,48,1531.8
OCR + spaCy receipt de-identification,sroie_test_0012,test,0,35,0,35,0,0.0,0.225,48,1531.8
Proposed multimodal mediation,sroie_test_0012,test,0,31,0,31,0,0.0,0.339,48,1531.8
Raw OCR text prompt,sroie_test_0013,test,0,0,0,0,0,0.0,1.000,51,1597.7
OCR + regex masking,sroie_test_0013,test,0,13,0,13,0,0.0,0.888,51,1597.7
OCR + generic de-identification,sroie_test_0013,test,0,32,0,32,0,0.0,0.458,51,1597.7
OCR + Presidio receipt de-identification,sroie_test_0013,test,0,34,0,34,0,0.0,0.367,51,1597.7
OCR + spaCy receipt de-identification,sroie_test_0013,test,0,38,0,38,0,0.0,0.315,51,1597.7
Proposed multimodal mediation,sroie_test_0013,test,0,32,0,32,0,0.0,0.458,51,1597.7
Raw OCR text prompt,sroie_test_0014,test,1,0,0,0,1,100.0,1.000,43,1115.6
OCR + regex masking,sroie_test_0014,test,1,11,1,10,0,0.0,0.822,43,1115.6
OCR + generic de-identification,sroie_test_0014,test,1,25,1,24,0,0.0,0.474,43,1115.6
OCR + Presidio receipt de-identification,sroie_test_0014,test,1,26,1,25,0,0.0,0.433,43,1115.6
OCR + spaCy receipt de-identification,sroie_test_0014,test,1,26,1,25,0,0.0,0.429,43,1115.6
Proposed multimodal mediation,sroie_test_0014,test,1,25,1,24,0,0.0,0.474,43,1115.6
Raw OCR text prompt,sroie_test_0015,test,0,0,0,0,0,0.0,1.000,53,881.8
OCR + regex masking,sroie_test_0015,test,0,16,0,16,0,0.0,0.860,53,881.8
OCR + generic de-identification,sroie_test_0015,test,0,33,0,33,0,0.0,0.362,53,881.8
OCR + Presidio receipt de-identification,sroie_test_0015,test,0,36,0,36,0,0.0,0.265,53,881.8
OCR + spaCy receipt de-identification,sroie_test_0015,test,0,39,0,39,0,0.0,0.263,53,881.8
Proposed multimodal mediation,sroie_test_0015,test,0,33,0,33,0,0.0,0.362,53,881.8
Raw OCR text prompt,sroie_test_0016,test,1,0,0,0,1,100.0,1.000,16,293.5
OCR + regex masking,sroie_test_0016,test,1,2,0,2,1,100.0,0.911,16,293.5
OCR + generic de-identification,sroie_test_0016,test,1,7,1,6,0,0.0,0.500,16,293.5
OCR + Presidio receipt de-identification,sroie_test_0016,test,1,11,1,10,0,0.0,0.244,16,293.5
OCR + spaCy receipt de-identification,sroie_test_0016,test,1,11,1,10,0,0.0,0.222,16,293.5
Proposed multimodal mediation,sroie_test_0016,test,1,7,1,6,0,0.0,0.500,16,293.5
Raw OCR text prompt,sroie_test_0017,test,1,0,0,0,1,100.0,1.000,42,1301.6
OCR + regex masking,sroie_test_0017,test,1,8,0,8,1,100.0,0.933,42,1301.6
OCR + generic de-identification,sroie_test_0017,test,1,23,1,22,0,0.0,0.455,42,1301.6
OCR + Presidio receipt de-identification,sroie_test_0017,test,1,26,1,25,0,0.0,0.383,42,1301.6
OCR + spaCy receipt de-identification,sroie_test_0017,test,1,30,1,29,0,0.0,0.326,42,1301.6
Proposed multimodal mediation,sroie_test_0017,test,1,23,1,22,0,0.0,0.455,42,1301.6
Raw OCR text prompt,sroie_test_0018,test,0,0,0,0,0,0.0,1.000,52,1617.3
OCR + regex masking,sroie_test_0018,test,0,12,0,12,0,0.0,0.879,52,1617.3
OCR + generic de-identification,sroie_test_0018,test,0,28,0,28,0,0.0,0.474,52,1617.3
OCR + Presidio receipt de-identification,sroie_test_0018,test,0,32,0,32,0,0.0,0.413,52,1617.3
OCR + spaCy receipt de-identification,sroie_test_0018,test,0,36,0,36,0,0.0,0.266,52,1617.3
Proposed multimodal mediation,sroie_test_0018,test,0,28,0,28,0,0.0,0.474,52,1617.3
Raw OCR text prompt,sroie_test_0019,test,0,0,0,0,0,0.0,1.000,58,968.8
OCR + regex masking,sroie_test_0019,test,0,4,0,4,0,0.0,0.981,58,968.8
OCR + generic de-identification,sroie_test_0019,test,0,27,0,27,0,0.0,0.498,58,968.8
OCR + Presidio receipt de-identification,sroie_test_0019,test,0,32,0,32,0,0.0,0.417,58,968.8
OCR + spaCy receipt de-identification,sroie_test_0019,test,0,32,0,32,0,0.0,0.414,58,968.8
Proposed multimodal mediation,sroie_test_0019,test,0,27,0,27,0,0.0,0.498,58,968.8
Raw OCR text prompt,sroie_test_0020,test,0,0,0,0,0,0.0,1.000,47,1291.6
OCR + regex masking,sroie_test_0020,test,0,9,0,9,0,0.0,0.881,47,1291.6
OCR + generic de-identification,sroie_test_0020,test,0,23,0,23,0,0.0,0.468,47,1291.6
OCR + Presidio receipt de-identification,sroie_test_0020,test,0,29,0,29,0,0.0,0.325,47,1291.6
OCR + spaCy receipt de-identification,sroie_test_0020,test,0,29,0,29,0,0.0,0.393,47,1291.6
Proposed multimodal mediation,sroie_test_0020,test,0,23,0,23,0,0.0,0.468,47,1291.6
Raw OCR text prompt,sroie_test_0021,test,0,0,0,0,0,0.0,1.000,45,1643.8
OCR + regex masking,sroie_test_0021,test,0,12,0,12,0,0.0,0.899,45,1643.8
OCR + generic de-identification,sroie_test_0021,test,0,30,0,30,0,0.0,0.348,45,1643.8
OCR + Presidio receipt de-identification,sroie_test_0021,test,0,32,0,32,0,0.0,0.272,45,1643.8
OCR + spaCy receipt de-identification,sroie_test_0021,test,0,36,0,36,0,0.0,0.209,45,1643.8
Proposed multimodal mediation,sroie_test_0021,test,0,30,0,30,0,0.0,0.348,45,1643.8
Raw OCR text prompt,sroie_test_0022,test,0,0,0,0,0,0.0,1.000,54,891.1
OCR + regex masking,sroie_test_0022,test,0,16,0,16,0,0.0,0.871,54,891.1
OCR + generic de-identification,sroie_test_0022,test,0,30,0,30,0,0.0,0.518,54,891.1
OCR + Presidio receipt de-identification,sroie_test_0022,test,0,34,0,34,0,0.0,0.396,54,891.1
OCR + spaCy receipt de-identification,sroie_test_0022,test,0,40,0,40,0,0.0,0.351,54,891.1
Proposed multimodal mediation,sroie_test_0022,test,0,30,0,30,0,0.0,0.518,54,891.1
Raw OCR text prompt,sroie_test_0023,test,0,0,0,0,0,0.0,1.000,43,1284.9
OCR + regex masking,sroie_test_0023,test,0,8,0,8,0,0.0,0.933,43,1284.9
OCR + generic de-identification,sroie_test_0023,test,0,25,0,25,0,0.0,0.445,43,1284.9
OCR + Presidio receipt de-identification,sroie_test_0023,test,0,27,0,27,0,0.0,0.409,43,1284.9
OCR + spaCy receipt de-identification,sroie_test_0023,test,0,31,0,31,0,0.0,0.282,43,1284.9
Proposed multimodal mediation,sroie_test_0023,test,0,25,0,25,0,0.0,0.445,43,1284.9
Raw OCR text prompt,sroie_test_0024,test,0,0,0,0,0,0.0,1.000,51,1173.2
OCR + regex masking,sroie_test_0024,test,0,13,0,13,0,0.0,0.903,51,1173.2
OCR + generic de-identification,sroie_test_0024,test,0,28,0,28,0,0.0,0.479,51,1173.2
OCR + Presidio receipt de-identification,sroie_test_0024,test,0,32,0,32,0,0.0,0.392,51,1173.2
OCR + spaCy receipt de-identification,sroie_test_0024,test,0,33,0,33,0,0.0,0.362,51,1173.2
Proposed multimodal mediation,sroie_test_0024,test,0,28,0,28,0,0.0,0.479,51,1173.2
Raw OCR text prompt,sroie_test_0025,test,0,0,0,0,0,0.0,1.000,57,1287.4
OCR + regex masking,sroie_test_0025,test,0,15,0,15,0,0.0,0.891,57,1287.4
OCR + generic de-identification,sroie_test_0025,test,0,30,0,30,0,0.0,0.508,57,1287.4
OCR + Presidio receipt de-identification,sroie_test_0025,test,0,39,0,39,0,0.0,0.341,57,1287.4
OCR + spaCy receipt de-identification,sroie_test_0025,test,0,40,0,40,0,0.0,0.326,57,1287.4
Proposed multimodal mediation,sroie_test_0025,test,0,30,0,30,0,0.0,0.508,57,1287.4
Raw OCR text prompt,sroie_test_0026,test,5,0,0,0,5,100.0,1.000,42,1138.1
OCR + regex masking,sroie_test_0026,test,5,8,5,3,0,0.0,0.958,42,1138.1
OCR + generic de-identification,sroie_test_0026,test,5,23,5,18,0,0.0,0.459,42,1138.1
OCR + Presidio receipt de-identification,sroie_test_0026,test,5,28,5,23,0,0.0,0.354,42,1138.1
OCR + spaCy receipt de-identification,sroie_test_0026,test,5,28,5,23,0,0.0,0.381,42,1138.1
Proposed multimodal mediation,sroie_test_0026,test,5,23,5,18,0,0.0,0.459,42,1138.1
Raw OCR text prompt,sroie_test_0027,test,0,0,0,0,0,0.0,1.000,46,1689.6
OCR + regex masking,sroie_test_0027,test,0,12,0,12,0,0.0,0.893,46,1689.6
OCR + generic de-identification,sroie_test_0027,test,0,30,0,30,0,0.0,0.349,46,1689.6
OCR + Presidio receipt de-identification,sroie_test_0027,test,0,33,0,33,0,0.0,0.255,46,1689.6
OCR + spaCy receipt de-identification,sroie_test_0027,test,0,36,0,36,0,0.0,0.231,46,1689.6
Proposed multimodal mediation,sroie_test_0027,test,0,30,0,30,0,0.0,0.349,46,1689.6
Raw OCR text prompt,sroie_test_0028,test,0,0,0,0,0,0.0,1.000,46,1155.7
OCR + regex masking,sroie_test_0028,test,0,14,0,14,0,0.0,0.856,46,1155.7
OCR + generic de-identification,sroie_test_0028,test,0,24,0,24,0,0.0,0.514,46,1155.7
OCR + Presidio receipt de-identification,sroie_test_0028,test,0,28,0,28,0,0.0,0.390,46,1155.7
OCR + spaCy receipt de-identification,sroie_test_0028,test,0,35,0,35,0,0.0,0.312,46,1155.7
Proposed multimodal mediation,sroie_test_0028,test,0,24,0,24,0,0.0,0.514,46,1155.7
Raw OCR text prompt,sroie_test_0029,test,0,0,0,0,0,0.0,1.000,40,599.0
OCR + regex masking,sroie_test_0029,test,0,3,0,3,0,0.0,0.978,40,599.0
OCR + generic de-identification,sroie_test_0029,test,0,22,0,22,0,0.0,0.419,40,599.0
OCR + Presidio receipt de-identification,sroie_test_0029,test,0,26,0,26,0,0.0,0.253,40,599.0
OCR + spaCy receipt de-identification,sroie_test_0029,test,0,32,0,32,0,0.0,0.209,40,599.0
Proposed multimodal mediation,sroie_test_0029,test,0,22,0,22,0,0.0,0.419,40,599.0
Raw OCR text prompt,sroie_test_0030,test,1,0,0,0,1,100.0,1.000,60,887.8
OCR + regex masking,sroie_test_0030,test,1,14,0,14,1,100.0,0.896,60,887.8
OCR + generic de-identification,sroie_test_0030,test,1,30,1,29,0,0.0,0.545,60,887.8
OCR + Presidio receipt de-identification,sroie_test_0030,test,1,35,1,34,0,0.0,0.429,60,887.8
OCR + spaCy receipt de-identification,sroie_test_0030,test,1,37,1,36,0,0.0,0.415,60,887.8
Proposed multimodal mediation,sroie_test_0030,test,1,30,1,29,0,0.0,0.545,60,887.8
Raw OCR text prompt,sroie_test_0031,test,0,0,0,0,0,0.0,1.000,26,1081.8
OCR + regex masking,sroie_test_0031,test,0,4,0,4,0,0.0,0.895,26,1081.8
OCR + generic de-identification,sroie_test_0031,test,0,15,0,15,0,0.0,0.351,26,1081.8
OCR + Presidio receipt de-identification,sroie_test_0031,test,0,18,0,18,0,0.0,0.255,26,1081.8
OCR + spaCy receipt de-identification,sroie_test_0031,test,0,20,0,20,0,0.0,0.225,26,1081.8
Proposed multimodal mediation,sroie_test_0031,test,0,15,0,15,0,0.0,0.351,26,1081.8
Raw OCR text prompt,sroie_test_0032,test,0,0,0,0,0,0.0,1.000,45,1216.2
OCR + regex masking,sroie_test_0032,test,0,7,0,7,0,0.0,0.938,45,1216.2
OCR + generic de-identification,sroie_test_0032,test,0,25,0,25,0,0.0,0.505,45,1216.2
OCR + Presidio receipt de-identification,sroie_test_0032,test,0,29,0,29,0,0.0,0.371,45,1216.2
OCR + spaCy receipt de-identification,sroie_test_0032,test,0,34,0,34,0,0.0,0.301,45,1216.2
Proposed multimodal mediation,sroie_test_0032,test,0,25,0,25,0,0.0,0.505,45,1216.2
Raw OCR text prompt,sroie_test_0033,test,1,0,0,0,1,100.0,1.000,44,1283.7
OCR + regex masking,sroie_test_0033,test,1,10,0,10,1,100.0,0.908,44,1283.7
OCR + generic de-identification,sroie_test_0033,test,1,25,1,24,0,0.0,0.473,44,1283.7
OCR + Presidio receipt de-identification,sroie_test_0033,test,1,31,1,30,0,0.0,0.324,44,1283.7
OCR + spaCy receipt de-identification,sroie_test_0033,test,1,31,1,30,0,0.0,0.318,44,1283.7
Proposed multimodal mediation,sroie_test_0033,test,1,25,1,24,0,0.0,0.473,44,1283.7
Raw OCR text prompt,sroie_test_0034,test,2,0,0,0,2,100.0,1.000,55,1837.9
OCR + regex masking,sroie_test_0034,test,2,17,2,15,0,0.0,0.917,55,1837.9
OCR + generic de-identification,sroie_test_0034,test,2,33,2,31,0,0.0,0.475,55,1837.9
OCR + Presidio receipt de-identification,sroie_test_0034,test,2,35,2,33,0,0.0,0.436,55,1837.9
OCR + spaCy receipt de-identification,sroie_test_0034,test,2,40,2,38,0,0.0,0.341,55,1837.9
Proposed multimodal mediation,sroie_test_0034,test,2,33,2,31,0,0.0,0.475,55,1837.9
Raw OCR text prompt,sroie_test_0035,test,0,0,0,0,0,0.0,1.000,72,1858.7
OCR + regex masking,sroie_test_0035,test,0,29,0,29,0,0.0,0.882,72,1858.7
OCR + generic de-identification,sroie_test_0035,test,0,46,0,46,0,0.0,0.477,72,1858.7
OCR + Presidio receipt de-identification,sroie_test_0035,test,0,51,0,51,0,0.0,0.421,72,1858.7
OCR + spaCy receipt de-identification,sroie_test_0035,test,0,53,0,53,0,0.0,0.361,72,1858.7
Proposed multimodal mediation,sroie_test_0035,test,0,46,0,46,0,0.0,0.477,72,1858.7
Raw OCR text prompt,sroie_test_0036,test,0,0,0,0,0,0.0,1.000,50,1635.7
OCR + regex masking,sroie_test_0036,test,0,11,0,11,0,0.0,0.907,50,1635.7
OCR + generic de-identification,sroie_test_0036,test,0,29,0,29,0,0.0,0.405,50,1635.7
OCR + Presidio receipt de-identification,sroie_test_0036,test,0,35,0,35,0,0.0,0.259,50,1635.7
OCR + spaCy receipt de-identification,sroie_test_0036,test,0,39,0,39,0,0.0,0.244,50,1635.7
Proposed multimodal mediation,sroie_test_0036,test,0,29,0,29,0,0.0,0.405,50,1635.7
Raw OCR text prompt,sroie_test_0037,test,0,0,0,0,0,0.0,1.000,55,1954.2
OCR + regex masking,sroie_test_0037,test,0,16,0,16,0,0.0,0.923,55,1954.2
OCR + generic de-identification,sroie_test_0037,test,0,31,0,31,0,0.0,0.489,55,1954.2
OCR + Presidio receipt de-identification,sroie_test_0037,test,0,33,0,33,0,0.0,0.450,55,1954.2
OCR + spaCy receipt de-identification,sroie_test_0037,test,0,43,0,43,0,0.0,0.329,55,1954.2
Proposed multimodal mediation,sroie_test_0037,test,0,31,0,31,0,0.0,0.489,55,1954.2
Raw OCR text prompt,sroie_test_0038,test,1,0,0,0,1,100.0,1.000,42,1066.2
OCR + regex masking,sroie_test_0038,test,1,9,0,9,1,100.0,0.908,42,1066.2
OCR + generic de-identification,sroie_test_0038,test,1,23,1,22,0,0.0,0.437,42,1066.2
OCR + Presidio receipt de-identification,sroie_test_0038,test,1,25,1,24,0,0.0,0.380,42,1066.2
OCR + spaCy receipt de-identification,sroie_test_0038,test,1,29,1,28,0,0.0,0.260,42,1066.2
Proposed multimodal mediation,sroie_test_0038,test,1,23,1,22,0,0.0,0.437,42,1066.2
Raw OCR text prompt,sroie_test_0039,test,0,0,0,0,0,0.0,1.000,27,775.1
OCR + regex masking,sroie_test_0039,test,0,6,0,6,0,0.0,0.897,27,775.1
OCR + generic de-identification,sroie_test_0039,test,0,15,0,15,0,0.0,0.449,27,775.1
OCR + Presidio receipt de-identification,sroie_test_0039,test,0,18,0,18,0,0.0,0.328,27,775.1
OCR + spaCy receipt de-identification,sroie_test_0039,test,0,17,0,17,0,0.0,0.376,27,775.1
Proposed multimodal mediation,sroie_test_0039,test,0,15,0,15,0,0.0,0.449,27,775.1
Raw OCR text prompt,sroie_test_0040,test,0,0,0,0,0,0.0,1.000,69,1546.6
OCR + regex masking,sroie_test_0040,test,0,18,0,18,0,0.0,0.885,69,1546.6
OCR + generic de-identification,sroie_test_0040,test,0,29,0,29,0,0.0,0.689,69,1546.6
OCR + Presidio receipt de-identification,sroie_test_0040,test,0,38,0,38,0,0.0,0.437,69,1546.6
OCR + spaCy receipt de-identification,sroie_test_0040,test,0,41,0,41,0,0.0,0.456,69,1546.6
Proposed multimodal mediation,sroie_test_0040,test,0,29,0,29,0,0.0,0.689,69,1546.6
Raw OCR text prompt,sroie_test_0041,test,1,0,0,0,1,100.0,1.000,27,1068.2
OCR + regex masking,sroie_test_0041,test,1,9,1,8,0,0.0,0.812,27,1068.2
OCR + generic de-identification,sroie_test_0041,test,1,15,1,14,0,0.0,0.446,27,1068.2
OCR + Presidio receipt de-identification,sroie_test_0041,test,1,17,1,16,0,0.0,0.332,27,1068.2
OCR + spaCy receipt de-identification,sroie_test_0041,test,1,15,1,14,0,0.0,0.446,27,1068.2
Proposed multimodal mediation,sroie_test_0041,test,1,15,1,14,0,0.0,0.446,27,1068.2
Raw OCR text prompt,sroie_test_0042,test,0,0,0,0,0,0.0,1.000,44,675.2
OCR + regex masking,sroie_test_0042,test,0,15,0,15,0,0.0,0.817,44,675.2
OCR + generic de-identification,sroie_test_0042,test,0,26,0,26,0,0.0,0.550,44,675.2
OCR + Presidio receipt de-identification,sroie_test_0042,test,0,31,0,31,0,0.0,0.402,44,675.2
OCR + spaCy receipt de-identification,sroie_test_0042,test,0,31,0,31,0,0.0,0.450,44,675.2
Proposed multimodal mediation,sroie_test_0042,test,0,26,0,26,0,0.0,0.550,44,675.2
Raw OCR text prompt,sroie_test_0043,test,0,0,0,0,0,0.0,1.000,32,794.8
OCR + regex masking,sroie_test_0043,test,0,7,0,7,0,0.0,0.845,32,794.8
OCR + generic de-identification,sroie_test_0043,test,0,14,0,14,0,0.0,0.508,32,794.8
OCR + Presidio receipt de-identification,sroie_test_0043,test,0,16,0,16,0,0.0,0.455,32,794.8
OCR + spaCy receipt de-identification,sroie_test_0043,test,0,19,0,19,0,0.0,0.395,32,794.8
Proposed multimodal mediation,sroie_test_0043,test,0,14,0,14,0,0.0,0.508,32,794.8
Raw OCR text prompt,sroie_test_0044,test,0,0,0,0,0,0.0,1.000,47,903.7
OCR + regex masking,sroie_test_0044,test,0,14,0,14,0,0.0,0.870,47,903.7
OCR + generic de-identification,sroie_test_0044,test,0,31,0,31,0,0.0,0.348,47,903.7
OCR + Presidio receipt de-identification,sroie_test_0044,test,0,34,0,34,0,0.0,0.243,47,903.7
OCR + spaCy receipt de-identification,sroie_test_0044,test,0,38,0,38,0,0.0,0.220,47,903.7
Proposed multimodal mediation,sroie_test_0044,test,0,31,0,31,0,0.0,0.348,47,903.7
Raw OCR text prompt,sroie_test_0045,test,1,0,0,0,1,100.0,1.000,50,1449.3
OCR + regex masking,sroie_test_0045,test,1,2,0,2,1,100.0,0.944,50,1449.3
OCR + generic de-identification,sroie_test_0045,test,1,27,1,26,0,0.0,0.427,50,1449.3
OCR + Presidio receipt de-identification,sroie_test_0045,test,1,30,1,29,0,0.0,0.346,50,1449.3
OCR + spaCy receipt de-identification,sroie_test_0045,test,1,29,1,28,0,0.0,0.392,50,1449.3
Proposed multimodal mediation,sroie_test_0045,test,1,27,1,26,0,0.0,0.427,50,1449.3
Raw OCR text prompt,sroie_test_0046,test,0,0,0,0,0,0.0,1.000,66,2227.8
OCR + regex masking,sroie_test_0046,test,0,22,0,22,0,0.0,0.903,66,2227.8
OCR + generic de-identification,sroie_test_0046,test,0,38,0,38,0,0.0,0.528,66,2227.8
OCR + Presidio receipt de-identification,sroie_test_0046,test,0,41,0,41,0,0.0,0.489,66,2227.8
OCR + spaCy receipt de-identification,sroie_test_0046,test,0,51,0,51,0,0.0,0.369,66,2227.8
Proposed multimodal mediation,sroie_test_0046,test,0,38,0,38,0,0.0,0.528,66,2227.8
Raw OCR text prompt,sroie_test_0047,test,1,0,0,0,1,100.0,1.000,45,1339.3
OCR + regex masking,sroie_test_0047,test,1,10,0,10,1,100.0,0.922,45,1339.3
OCR + generic de-identification,sroie_test_0047,test,1,26,0,26,1,100.0,0.444,45,1339.3
OCR + Presidio receipt de-identification,sroie_test_0047,test,1,31,1,30,0,0.0,0.338,45,1339.3
OCR + spaCy receipt de-identification,sroie_test_0047,test,1,38,1,37,0,0.0,0.175,45,1339.3
