benchmark,split,document_id,source_record_id,image_size,word_count,entity_categories,wrapper_instruction,evaluation_slice
SROIE,test,sroie_test_0000,sroie_test_0000,720x960,37,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0031,sroie_test_0031,720x960,46,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0032,sroie_test_0032,720x960,35,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0033,sroie_test_0033,720x960,43,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0034,sroie_test_0034,720x960,38,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0035,sroie_test_0035,720x960,38,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0036,sroie_test_0036,720x960,38,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0037,sroie_test_0037,720x960,38,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0038,sroie_test_0038,720x960,42,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0039,sroie_test_0039,720x960,44,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0040,sroie_test_0040,720x960,40,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0041,sroie_test_0041,720x960,42,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0042,sroie_test_0042,720x960,39,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0043,sroie_test_0043,720x960,40,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0044,sroie_test_0044,720x960,40,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0045,sroie_test_0045,720x960,43,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0046,sroie_test_0046,720x960,38,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0047,sroie_test_0047,720x960,39,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0048,sroie_test_0048,720x960,38,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0049,sroie_test_0049,720x960,35,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0050,sroie_test_0050,720x960,34,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0051,sroie_test_0051,720x960,46,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0052,sroie_test_0052,720x960,43,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0053,sroie_test_0053,720x960,37,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0054,sroie_test_0054,720x960,51,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0055,sroie_test_0055,720x960,39,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0056,sroie_test_0056,720x960,38,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0057,sroie_test_0057,720x960,37,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0058,sroie_test_0058,720x960,46,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0059,sroie_test_0059,720x960,44,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0060,sroie_test_0060,720x960,34,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0061,sroie_test_0061,720x960,45,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
SROIE,test,sroie_test_0062,sroie_test_0062,720x960,41,company | address | date | total,Protect identifying receipt header fields while preserving total-value utility and overall receipt structure for downstream reasoning.,receipt OCR matched transfer
