prompt_id,template_id,seed,setting,direct_exposure_score,ac_score,tsr_score
T05-V2,T05,17,No protection,1.000000,0.998786,1.000000
T05-V3,T05,17,No protection,0.999663,1.000000,1.000000
T05-V4,T05,17,No protection,1.000000,1.000000,0.999615
T05-V5,T05,17,No protection,1.000000,1.000000,1.000000
T05-V6,T05,17,No protection,1.000000,1.000000,1.000000
T05-V7,T05,17,No protection,0.999555,1.000000,1.000000
T05-V8,T05,17,No protection,1.000000,0.998670,1.000000
T06-V1,T06,17,No protection,1.000000,0.996386,0.997671
T06-V2,T06,17,No protection,1.000000,1.000000,0.997658
T06-V3,T06,17,No protection,1.000000,1.000000,0.999115
T06-V4,T06,17,No protection,1.000000,0.996196,0.995199
T06-V5,T06,17,No protection,1.000000,0.998435,1.000000
T06-V6,T06,17,No protection,1.000000,0.998895,0.999595
T06-V7,T06,17,No protection,1.000000,0.998270,1.000000
T06-V8,T06,17,No protection,1.000000,0.996788,0.995489
T07-V1,T07,17,No protection,1.000000,1.000000,0.997658
T07-V2,T07,17,No protection,1.000000,1.000000,0.999115
T07-V3,T07,17,No protection,1.000000,0.998196,0.997699
T07-V4,T07,17,No protection,1.000000,0.995635,0.998348
T07-V5,T07,17,No protection,1.000000,0.998895,0.999595
T07-V6,T07,17,No protection,1.000000,0.998270,1.000000
T07-V7,T07,17,No protection,1.000000,0.998788,0.997989
T07-V8,T07,17,No protection,1.000000,0.999591,0.998444
T08-V1,T08,17,No protection,1.000000,1.000000,0.999115
T08-V2,T08,17,No protection,1.000000,0.998196,0.997699
T08-V3,T08,17,No protection,1.000000,0.997635,1.000000
T08-V4,T08,17,No protection,1.000000,0.996095,0.996095
T08-V5,T08,17,No protection,1.000000,0.998270,1.000000
T08-V6,T08,17,No protection,1.000000,0.998788,0.997989
T08-V7,T08,17,No protection,1.000000,1.000000,1.000000
T08-V8,T08,17,No protection,1.000000,0.999683,0.995516
T09-V1,T09,17,No protection,1.000000,1.000000,1.000000
T09-V2,T09,17,No protection,1.000000,1.000000,1.000000
T09-V3,T09,17,No protection,1.000000,1.000000,1.000000
T09-V4,T09,17,No protection,1.000000,0.997870,1.000000
T09-V5,T09,17,No protection,1.000000,1.000000,1.000000
T09-V6,T09,17,No protection,1.000000,1.000000,1.000000
T09-V7,T09,17,No protection,1.000000,1.000000,1.000000
T09-V8,T09,17,No protection,1.000000,0.998124,1.000000
T10-V1,T10,17,No protection,1.000000,1.000000,1.000000
T10-V2,T10,17,No protection,1.000000,0.999664,0.999758
T10-V3,T10,17,No protection,1.000000,0.998595,0.999616
T10-V4,T10,17,No protection,1.000000,1.000000,0.998075
T10-V5,T10,17,No protection,1.000000,0.999395,0.999892
T10-V6,T10,17,No protection,1.000000,0.999586,1.000000
T10-V7,T10,17,No protection,0.998863,1.000000,1.000000
T10-V8,T10,17,No protection,1.000000,1.000000,1.000000
T11-V1,T11,17,No protection,1.000000,0.999664,0.999758
T11-V2,T11,17,No protection,1.000000,0.998595,0.999616
T11-V3,T11,17,No protection,1.000000,1.000000,1.000000
T11-V4,T11,17,No protection,1.000000,0.996595,0.996392
T11-V5,T11,17,No protection,1.000000,0.999586,1.000000
T11-V6,T11,17,No protection,0.998863,1.000000,1.000000
T11-V7,T11,17,No protection,0.999645,1.000000,1.000000
T11-V8,T11,17,No protection,1.000000,0.999396,0.999199
T12-V1,T12,17,No protection,1.000000,0.998595,0.999616
T12-V2,T12,17,No protection,1.000000,1.000000,1.000000
T12-V3,T12,17,No protection,1.000000,0.998595,0.998892
T12-V4,T12,17,No protection,1.000000,0.996786,0.998171
T12-V5,T12,17,No protection,0.998863,1.000000,1.000000
T12-V6,T12,17,No protection,0.999645,1.000000,1.000000
T12-V7,T12,17,No protection,1.000000,1.000000,1.000000
T12-V8,T12,17,No protection,1.000000,0.998835,1.000000
T13-V1,T13,17,No protection,1.000000,1.000000,1.000000
T13-V2,T13,17,No protection,1.000000,0.998595,0.998892
T13-V3,T13,17,No protection,1.000000,0.998786,1.000000
T13-V4,T13,17,No protection,1.000000,1.000000,0.998158
T13-V5,T13,17,No protection,0.999645,1.000000,1.000000
T13-V6,T13,17,No protection,1.000000,1.000000,1.000000
T13-V7,T13,17,No protection,1.000000,1.000000,1.000000
T13-V8,T13,17,No protection,1.000000,0.999295,1.000000
T14-V1,T14,17,No protection,1.000000,0.996195,0.995892
T14-V2,T14,17,No protection,1.000000,0.996386,0.997671
T14-V3,T14,17,No protection,1.000000,1.000000,0.997658
T14-V4,T14,17,No protection,1.000000,0.999562,0.996615
T14-V5,T14,17,No protection,1.000000,0.998996,0.998699
T14-V6,T14,17,No protection,1.000000,0.998435,1.000000
T14-V7,T14,17,No protection,1.000000,0.998895,0.999595
T14-V8,T14,17,No protection,1.000000,0.996270,0.999384
T15-V1,T15,17,No protection,1.000000,0.996386,0.997671
T15-V2,T15,17,No protection,1.000000,1.000000,0.997658
T15-V3,T15,17,No protection,1.000000,1.000000,0.999115
T15-V4,T15,17,No protection,1.000000,0.996196,0.995199
T15-V5,T15,17,No protection,1.000000,0.998435,1.000000
T15-V6,T15,17,No protection,1.000000,0.998895,0.999595
T15-V7,T15,17,No protection,1.000000,0.998270,1.000000
T15-V8,T15,17,No protection,1.000000,0.996788,0.995489
T16-V1,T16,17,No protection,1.000000,1.000000,0.997658
T16-V2,T16,17,No protection,1.000000,1.000000,0.999115
T16-V3,T16,17,No protection,1.000000,0.998196,0.997699
T16-V4,T16,17,No protection,1.000000,0.995635,0.998348
T16-V5,T16,17,No protection,1.000000,0.998895,0.999595
T16-V6,T16,17,No protection,1.000000,0.998270,1.000000
T16-V7,T16,17,No protection,1.000000,0.998788,0.997989
T16-V8,T16,17,No protection,1.000000,0.999591,0.998444
T17-V1,T17,17,No protection,1.000000,1.000000,1.000000
T17-V2,T17,17,No protection,1.000000,0.998996,0.998699
T17-V3,T17,17,No protection,1.000000,0.998435,1.000000
T17-V4,T17,17,No protection,1.000000,0.996895,0.997095
T17-V5,T17,17,No protection,1.000000,0.999070,1.000000
T17-V6,T17,17,No protection,1.000000,0.999588,0.998989
T17-V7,T17,17,No protection,1.000000,1.000000,1.000000
T17-V8,T17,17,No protection,1.000000,1.000000,0.996516
T18-V1,T18,17,No protection,1.000000,0.998996,0.998699
T18-V2,T18,17,No protection,1.000000,0.998435,1.000000
T18-V3,T18,17,No protection,1.000000,0.998895,0.999595
T18-V4,T18,17,No protection,1.000000,0.996270,0.999384
T18-V5,T18,17,No protection,1.000000,0.999588,0.998989
T18-V6,T18,17,No protection,1.000000,1.000000,1.000000
T18-V7,T18,17,No protection,1.000000,1.000000,0.999016
T18-V8,T18,17,No protection,1.000000,0.996524,0.998844
T19-V1,T19,17,No protection,1.000000,0.998435,1.000000
T19-V2,T19,17,No protection,1.000000,0.998895,0.999595
T19-V3,T19,17,No protection,1.000000,0.998270,1.000000
T19-V4,T19,17,No protection,1.000000,0.996788,0.995489
T19-V5,T19,17,No protection,1.000000,1.000000,1.000000
T19-V6,T19,17,No protection,1.000000,1.000000,0.999016
T19-V7,T19,17,No protection,1.000000,0.998524,1.000000
T19-V8,T19,17,No protection,1.000000,0.998204,0.998551
T20-V1,T20,17,No protection,1.000000,0.998064,0.997758
T20-V2,T20,17,No protection,1.000000,0.996995,0.997616
T20-V3,T20,17,No protection,1.000000,1.000000,0.998575
T20-V4,T20,17,No protection,1.000000,0.994995,0.994392
T20-V5,T20,17,No protection,1.000000,0.997986,0.999671
T20-V6,T20,17,No protection,1.000000,1.000000,0.999658
T20-V7,T20,17,No protection,1.000000,1.000000,1.000000
T20-V8,T20,17,No protection,1.000000,0.997796,0.997199
T21-V1,T21,17,No protection,1.000000,0.996995,0.997616
T21-V2,T21,17,No protection,1.000000,1.000000,0.998575
T21-V3,T21,17,No protection,1.000000,0.996995,0.996892
T21-V4,T21,17,No protection,1.000000,0.995186,0.996171
T21-V5,T21,17,No protection,1.000000,1.000000,0.999658
T21-V6,T21,17,No protection,1.000000,1.000000,1.000000
T21-V7,T21,17,No protection,1.000000,0.999796,0.999699
T21-V8,T21,17,No protection,1.000000,0.997235,1.000000
T22-V1,T22,17,No protection,1.000000,0.998418,0.995575
T22-V2,T22,17,No protection,1.000000,0.994595,0.993892
T22-V3,T22,17,No protection,1.000000,0.994786,0.995671
T22-V4,T22,17,No protection,1.000000,0.998037,0.993158
T22-V5,T22,17,No protection,1.000000,1.000000,0.998115
T22-V6,T22,17,No protection,1.000000,0.997396,0.996699
T22-V7,T22,17,No protection,1.000000,0.996835,0.999848
T22-V8,T22,17,No protection,1.000000,0.995295,0.995095
T23-V1,T23,17,No protection,1.000000,0.994595,0.993892
T23-V2,T23,17,No protection,1.000000,0.994786,0.995671
T23-V3,T23,17,No protection,1.000000,1.000000,0.995658
T23-V4,T23,17,No protection,1.000000,0.997962,0.994615
T23-V5,T23,17,No protection,1.000000,0.997396,0.996699
T23-V6,T23,17,No protection,1.000000,0.996835,0.999848
T23-V7,T23,17,No protection,1.000000,0.997295,0.997595
T23-V8,T23,17,No protection,1.000000,0.994670,0.997384
T24-V1,T24,17,No protection,1.000000,0.994786,0.995671
T24-V2,T24,17,No protection,1.000000,1.000000,0.995658
T24-V3,T24,17,No protection,1.000000,0.999962,0.997115
T24-V4,T24,17,No protection,1.000000,0.994596,0.993199
T24-V5,T24,17,No protection,1.000000,0.996835,0.999848
T24-V6,T24,17,No protection,1.000000,0.997295,0.997595
T24-V7,T24,17,No protection,1.000000,0.996670,0.999884
T24-V8,T24,17,No protection,1.000000,0.995188,0.993489
T25-V1,T25,17,No protection,1.000000,1.000000,0.998658
T25-V2,T25,17,No protection,1.000000,1.000000,1.000000
T25-V3,T25,17,No protection,1.000000,0.998996,0.998699
T25-V4,T25,17,No protection,1.000000,0.996435,0.999348
T25-V5,T25,17,No protection,1.000000,0.999695,1.000000
T25-V6,T25,17,No protection,1.000000,0.999070,1.000000
T25-V7,T25,17,No protection,1.000000,0.999588,0.998989
T25-V8,T25,17,No protection,1.000000,1.000000,0.999444
T26-V1,T26,17,No protection,1.000000,1.000000,1.000000
T26-V2,T26,17,No protection,1.000000,0.998996,0.998699
T26-V3,T26,17,No protection,1.000000,0.998435,1.000000
T26-V4,T26,17,No protection,1.000000,0.996895,0.997095
T26-V5,T26,17,No protection,1.000000,0.999070,1.000000
T26-V6,T26,17,No protection,1.000000,0.999588,0.998989
T26-V7,T26,17,No protection,1.000000,1.000000,1.000000
T26-V8,T26,17,No protection,1.000000,1.000000,0.996516
T27-V1,T27,17,No protection,1.000000,0.998996,0.998699
T27-V2,T27,17,No protection,1.000000,0.998435,1.000000
T27-V3,T27,17,No protection,1.000000,0.998895,0.999595
T27-V4,T27,17,No protection,1.000000,0.996270,0.999384
T27-V5,T27,17,No protection,1.000000,0.999588,0.998989
T27-V6,T27,17,No protection,1.000000,1.000000,1.000000
T27-V7,T27,17,No protection,1.000000,1.000000,0.999016
T27-V8,T27,17,No protection,1.000000,0.996524,0.998844
T28-V1,T28,17,No protection,1.000000,0.998435,1.000000
T28-V2,T28,17,No protection,1.000000,0.998895,0.999595
T28-V3,T28,17,No protection,1.000000,0.998270,1.000000
T28-V4,T28,17,No protection,1.000000,0.996788,0.995489
T28-V5,T28,17,No protection,1.000000,1.000000,1.000000
T28-V6,T28,17,No protection,1.000000,1.000000,0.999016
T28-V7,T28,17,No protection,1.000000,0.998524,1.000000
T28-V8,T28,17,No protection,1.000000,0.998204,0.998551
T29-V1,T29,17,No protection,1.000000,0.998895,0.999595
T29-V2,T29,17,No protection,1.000000,0.998270,1.000000
T29-V3,T29,17,No protection,1.000000,0.998788,0.997989
T29-V4,T29,17,No protection,1.000000,0.999591,0.998444
T29-V5,T29,17,No protection,1.000000,1.000000,0.999016
T29-V6,T29,17,No protection,1.000000,0.998524,1.000000
T29-V7,T29,17,No protection,1.000000,1.000000,1.000000
T29-V8,T29,17,No protection,1.000000,0.995013,0.995840
T30-V1,T30,17,No protection,1.000000,0.994595,0.994616
T30-V2,T30,17,No protection,1.000000,0.998418,0.995575
T30-V3,T30,17,No protection,1.000000,0.994595,0.993892
T30-V4,T30,17,No protection,1.000000,0.992786,0.993171
T30-V5,T30,17,No protection,1.000000,1.000000,0.996658
T30-V6,T30,17,No protection,1.000000,1.000000,0.998115
T30-V7,T30,17,No protection,1.000000,0.997396,0.996699
T30-V8,T30,17,No protection,1.000000,0.994835,0.997348
T31-V1,T31,17,No protection,1.000000,0.998418,0.995575
T31-V2,T31,17,No protection,1.000000,0.994595,0.993892
T31-V3,T31,17,No protection,1.000000,0.994786,0.995671
T31-V4,T31,17,No protection,1.000000,0.998037,0.993158
T31-V5,T31,17,No protection,1.000000,1.000000,0.998115
T31-V6,T31,17,No protection,1.000000,0.997396,0.996699
T31-V7,T31,17,No protection,1.000000,0.996835,0.999848
T31-V8,T31,17,No protection,1.000000,0.995295,0.995095
T32-V1,T32,17,No protection,1.000000,0.994595,0.993892
T32-V2,T32,17,No protection,1.000000,0.994786,0.995671
T32-V3,T32,17,No protection,1.000000,1.000000,0.995658
T32-V4,T32,17,No protection,1.000000,0.997962,0.994615
T32-V5,T32,17,No protection,1.000000,0.997396,0.996699
T32-V6,T32,17,No protection,1.000000,0.996835,0.999848
T32-V7,T32,17,No protection,1.000000,0.997295,0.997595
T32-V8,T32,17,No protection,1.000000,0.994670,0.997384
T01-V1,T01,29,No protection,1.000000,0.997643,0.999869
T01-V2,T01,29,No protection,1.000000,0.996271,0.996673
T01-V3,T01,29,No protection,1.000000,0.995289,0.996625
T01-V4,T01,29,No protection,1.000000,0.997743,0.994564
T01-V5,T01,29,No protection,1.000000,0.998775,0.998035
T01-V6,T01,29,No protection,1.000000,0.996278,0.999042
T01-V7,T01,29,No protection,0.996375,1.000000,0.999878
T01-V8,T01,29,No protection,1.000000,1.000000,0.998270
T02-V1,T02,29,No protection,1.000000,0.996271,0.996673
T02-V2,T02,29,No protection,1.000000,0.995289,0.996625
T02-V3,T02,29,No protection,1.000000,0.999743,0.997064
T02-V4,T02,29,No protection,1.000000,0.995975,0.994535
T02-V5,T02,29,No protection,1.000000,0.996278,0.999042
T02-V6,T02,29,No protection,0.996375,1.000000,0.999878
T02-V7,T02,29,No protection,0.999972,1.000000,1.000000
T02-V8,T02,29,No protection,1.000000,1.000000,1.000000
T03-V1,T03,29,No protection,1.000000,0.995289,0.996625
T03-V2,T03,29,No protection,1.000000,0.999743,0.997064
T03-V3,T03,29,No protection,1.000000,0.997975,0.997035
T03-V4,T03,29,No protection,1.000000,0.993478,0.995542
T03-V5,T03,29,No protection,0.996375,1.000000,0.999878
T03-V6,T03,29,No protection,0.999972,1.000000,1.000000
T03-V7,T03,29,No protection,0.999130,1.000000,1.000000
T03-V8,T03,29,No protection,0.999375,1.000000,1.000000
T04-V1,T04,29,No protection,1.000000,0.999743,0.997064
T04-V2,T04,29,No protection,1.000000,0.997975,0.997035
T04-V3,T04,29,No protection,1.000000,0.995478,0.998042
T04-V4,T04,29,No protection,0.999175,0.997693,0.996378
T04-V5,T04,29,No protection,0.999972,1.000000,1.000000
T04-V6,T04,29,No protection,0.999130,1.000000,1.000000
T04-V7,T04,29,No protection,0.997375,1.000000,1.000000
T04-V8,T04,29,No protection,0.999967,1.000000,1.000000
T05-V1,T05,29,No protection,1.000000,0.997975,0.997035
T05-V2,T05,29,No protection,1.000000,0.995478,0.998042
T05-V3,T05,29,No protection,0.997175,0.999693,0.998878
T05-V4,T05,29,No protection,1.000000,0.999482,0.997270
T05-V5,T05,29,No protection,0.999130,1.000000,1.000000
T05-V6,T05,29,No protection,0.997375,1.000000,1.000000
T05-V7,T05,29,No protection,0.997967,1.000000,1.000000
T05-V8,T05,29,No protection,1.000000,0.998909,0.998822
T06-V1,T06,29,No protection,1.000000,0.993078,0.995042
T06-V2,T06,29,No protection,0.999575,0.997293,0.995878
T06-V3,T06,29,No protection,1.000000,0.999082,0.996770
T06-V4,T06,29,No protection,1.000000,0.997578,0.997744
T06-V5,T06,29,No protection,0.999775,1.000000,1.000000
T06-V6,T06,29,No protection,1.000000,1.000000,1.000000
T06-V7,T06,29,No protection,1.000000,0.998509,0.998322
T06-V8,T06,29,No protection,1.000000,0.993733,0.995219
T07-V1,T07,29,No protection,0.999575,0.997293,0.995878
T07-V2,T07,29,No protection,1.000000,0.999082,0.996770
T07-V3,T07,29,No protection,1.000000,0.999578,1.000000
T07-V4,T07,29,No protection,1.000000,0.997307,0.996913
T07-V5,T07,29,No protection,1.000000,1.000000,1.000000
T07-V6,T07,29,No protection,1.000000,0.998509,0.998322
T07-V7,T07,29,No protection,1.000000,0.995733,0.997719
T07-V8,T07,29,No protection,1.000000,0.994870,0.996702
T08-V1,T08,29,No protection,1.000000,0.999082,0.996770
T08-V2,T08,29,No protection,1.000000,0.999578,1.000000
T08-V3,T08,29,No protection,1.000000,0.999307,0.999413
T08-V4,T08,29,No protection,1.000000,0.998834,0.997711
T08-V5,T08,29,No protection,1.000000,0.998509,0.998322
T08-V6,T08,29,No protection,1.000000,0.995733,0.997719
T08-V7,T08,29,No protection,1.000000,0.996870,0.999202
T08-V8,T08,29,No protection,1.000000,0.994314,0.992188
T09-V1,T09,29,No protection,0.999930,1.000000,1.000000
T09-V2,T09,29,No protection,0.998175,1.000000,1.000000
T09-V3,T09,29,No protection,0.998767,1.000000,1.000000
T09-V4,T09,29,No protection,1.000000,0.998109,0.997822
T09-V5,T09,29,No protection,0.999469,0.998133,1.000000
T09-V6,T09,29,No protection,0.998524,0.999270,1.000000
T09-V7,T09,29,No protection,1.000000,0.998714,0.997688
T09-V8,T09,29,No protection,1.000000,0.998300,0.999092
T10-V1,T10,29,No protection,1.000000,0.997643,0.999869
T10-V2,T10,29,No protection,1.000000,0.996271,0.996673
T10-V3,T10,29,No protection,1.000000,0.995289,0.996625
T10-V4,T10,29,No protection,1.000000,0.997743,0.994564
T10-V5,T10,29,No protection,1.000000,0.998775,0.998035
T10-V6,T10,29,No protection,1.000000,0.996278,0.999042
T10-V7,T10,29,No protection,0.996375,1.000000,0.999878
T10-V8,T10,29,No protection,1.000000,1.000000,0.998270
T11-V1,T11,29,No protection,1.000000,0.996271,0.996673
T11-V2,T11,29,No protection,1.000000,0.995289,0.996625
T11-V3,T11,29,No protection,1.000000,0.999743,0.997064
T11-V4,T11,29,No protection,1.000000,0.995975,0.994535
T11-V5,T11,29,No protection,1.000000,0.996278,0.999042
T11-V6,T11,29,No protection,0.996375,1.000000,0.999878
T11-V7,T11,29,No protection,0.999972,1.000000,1.000000
T11-V8,T11,29,No protection,1.000000,1.000000,1.000000
T12-V1,T12,29,No protection,1.000000,0.995289,0.996625
T12-V2,T12,29,No protection,1.000000,0.999743,0.997064
T12-V3,T12,29,No protection,1.000000,0.997975,0.997035
T12-V4,T12,29,No protection,1.000000,0.993478,0.995542
T12-V5,T12,29,No protection,0.996375,1.000000,0.999878
T12-V6,T12,29,No protection,0.999972,1.000000,1.000000
T12-V7,T12,29,No protection,0.999130,1.000000,1.000000
T12-V8,T12,29,No protection,0.999375,1.000000,1.000000
T13-V1,T13,29,No protection,1.000000,0.999743,0.997064
T13-V2,T13,29,No protection,1.000000,0.997975,0.997035
T13-V3,T13,29,No protection,1.000000,0.995478,0.998042
T13-V4,T13,29,No protection,0.999175,0.997693,0.996378
T13-V5,T13,29,No protection,0.999972,1.000000,1.000000
T13-V6,T13,29,No protection,0.999130,1.000000,1.000000
T13-V7,T13,29,No protection,0.997375,1.000000,1.000000
T13-V8,T13,29,No protection,0.999967,1.000000,1.000000
T14-V1,T14,29,No protection,1.000000,0.995575,0.994035
T14-V2,T14,29,No protection,1.000000,0.993078,0.995042
T14-V3,T14,29,No protection,0.999575,0.997293,0.995878
T14-V4,T14,29,No protection,1.000000,0.997082,0.994270
T14-V5,T14,29,No protection,1.000000,1.000000,1.000000
T14-V6,T14,29,No protection,0.999775,1.000000,1.000000
T14-V7,T14,29,No protection,1.000000,1.000000,1.000000
T14-V8,T14,29,No protection,1.000000,0.996509,0.995822
T15-V1,T15,29,No protection,1.000000,0.993078,0.995042
T15-V2,T15,29,No protection,0.999575,0.997293,0.995878
T15-V3,T15,29,No protection,1.000000,0.999082,0.996770
T15-V4,T15,29,No protection,1.000000,0.997578,0.997744
T15-V5,T15,29,No protection,0.999775,1.000000,1.000000
T15-V6,T15,29,No protection,1.000000,1.000000,1.000000
T15-V7,T15,29,No protection,1.000000,0.998509,0.998322
T15-V8,T15,29,No protection,1.000000,0.993733,0.995219
T16-V1,T16,29,No protection,0.999575,0.997293,0.995878
T16-V2,T16,29,No protection,1.000000,0.999082,0.996770
T16-V3,T16,29,No protection,1.000000,0.999578,1.000000
T16-V4,T16,29,No protection,1.000000,0.997307,0.996913
T16-V5,T16,29,No protection,1.000000,1.000000,1.000000
T16-V6,T16,29,No protection,1.000000,0.998509,0.998322
T16-V7,T16,29,No protection,1.000000,0.995733,0.997719
T16-V8,T16,29,No protection,1.000000,0.994870,0.996702
T17-V1,T17,29,No protection,1.000000,0.999882,0.997770
T17-V2,T17,29,No protection,1.000000,1.000000,1.000000
T17-V3,T17,29,No protection,0.999775,1.000000,1.000000
T17-V4,T17,29,No protection,1.000000,0.999634,0.998711
T17-V5,T17,29,No protection,1.000000,0.999309,0.999322
T17-V6,T17,29,No protection,1.000000,0.996533,0.998719
T17-V7,T17,29,No protection,1.000000,0.997670,1.000000
T17-V8,T17,29,No protection,1.000000,0.995114,0.993188
T18-V1,T18,29,No protection,1.000000,1.000000,1.000000
T18-V2,T18,29,No protection,0.999775,1.000000,1.000000
T18-V3,T18,29,No protection,1.000000,1.000000,1.000000
T18-V4,T18,29,No protection,1.000000,0.996509,0.995822
T18-V5,T18,29,No protection,1.000000,0.996533,0.998719
T18-V6,T18,29,No protection,1.000000,0.997670,1.000000
T18-V7,T18,29,No protection,1.000000,0.997114,0.995688
T18-V8,T18,29,No protection,1.000000,0.996700,0.997092
T19-V1,T19,29,No protection,0.999775,1.000000,1.000000
T19-V2,T19,29,No protection,1.000000,1.000000,1.000000
T19-V3,T19,29,No protection,1.000000,0.998509,0.998322
T19-V4,T19,29,No protection,1.000000,0.993733,0.995219
T19-V5,T19,29,No protection,1.000000,0.997670,1.000000
T19-V6,T19,29,No protection,1.000000,0.997114,0.995688
T19-V7,T19,29,No protection,1.000000,0.998700,0.999592
T19-V8,T19,29,No protection,1.000000,0.996765,0.995677
T20-V1,T20,29,No protection,1.000000,0.994671,0.994673
T20-V2,T20,29,No protection,1.000000,0.993689,0.994625
T20-V3,T20,29,No protection,1.000000,0.998143,0.995064
T20-V4,T20,29,No protection,1.000000,0.994375,0.992535
T20-V5,T20,29,No protection,1.000000,0.994678,0.997042
T20-V6,T20,29,No protection,0.997975,0.998893,0.997878
T20-V7,T20,29,No protection,1.000000,1.000000,0.998770
T20-V8,T20,29,No protection,1.000000,0.999178,0.999744
T21-V1,T21,29,No protection,1.000000,0.993689,0.994625
T21-V2,T21,29,No protection,1.000000,0.998143,0.995064
T21-V3,T21,29,No protection,1.000000,0.996375,0.995035
T21-V4,T21,29,No protection,1.000000,0.991878,0.993542
T21-V5,T21,29,No protection,0.997975,0.998893,0.997878
T21-V6,T21,29,No protection,1.000000,1.000000,0.998770
T21-V7,T21,29,No protection,1.000000,1.000000,1.000000
T21-V8,T21,29,No protection,1.000000,0.998907,0.998913
T22-V1,T22,29,No protection,1.000000,0.995743,0.992064
T22-V2,T22,29,No protection,1.000000,0.993975,0.992035
T22-V3,T22,29,No protection,1.000000,0.991478,0.993042
T22-V4,T22,29,No protection,1.000000,0.993693,0.991378
T22-V5,T22,29,No protection,1.000000,0.998282,0.995770
T22-V6,T22,29,No protection,1.000000,0.998778,0.999244
T22-V7,T22,29,No protection,1.000000,0.998507,0.998413
T22-V8,T22,29,No protection,1.000000,0.998034,0.996711
T23-V1,T23,29,No protection,1.000000,0.993975,0.992035
T23-V2,T23,29,No protection,1.000000,0.991478,0.993042
T23-V3,T23,29,No protection,1.000000,0.995693,0.993878
T23-V4,T23,29,No protection,1.000000,0.995482,0.992270
T23-V5,T23,29,No protection,1.000000,0.998778,0.999244
T23-V6,T23,29,No protection,1.000000,0.998507,0.998413
T23-V7,T23,29,No protection,1.000000,1.000000,0.999211
T23-V8,T23,29,No protection,1.000000,0.994909,0.993822
T24-V1,T24,29,No protection,1.000000,0.991478,0.993042
T24-V2,T24,29,No protection,1.000000,0.995693,0.993878
T24-V3,T24,29,No protection,1.000000,0.997482,0.994770
T24-V4,T24,29,No protection,1.000000,0.995978,0.995744
T24-V5,T24,29,No protection,1.000000,0.998507,0.998413
T24-V6,T24,29,No protection,1.000000,1.000000,0.999211
T24-V7,T24,29,No protection,1.000000,0.996909,0.996322
T24-V8,T24,29,No protection,1.000000,0.992133,0.993219
T25-V1,T25,29,No protection,0.998775,0.998093,0.996878
T25-V2,T25,29,No protection,1.000000,0.999882,0.997770
T25-V3,T25,29,No protection,1.000000,1.000000,1.000000
T25-V4,T25,29,No protection,1.000000,0.998107,0.997913
T25-V5,T25,29,No protection,0.999567,1.000000,1.000000
T25-V6,T25,29,No protection,1.000000,0.999309,0.999322
T25-V7,T25,29,No protection,1.000000,0.996533,0.998719
T25-V8,T25,29,No protection,1.000000,0.995670,0.997702
T26-V1,T26,29,No protection,1.000000,0.999882,0.997770
T26-V2,T26,29,No protection,1.000000,1.000000,1.000000
T26-V3,T26,29,No protection,0.999775,1.000000,1.000000
T26-V4,T26,29,No protection,1.000000,0.999634,0.998711
T26-V5,T26,29,No protection,1.000000,0.999309,0.999322
T26-V6,T26,29,No protection,1.000000,0.996533,0.998719
T26-V7,T26,29,No protection,1.000000,0.997670,1.000000
T26-V8,T26,29,No protection,1.000000,0.995114,0.993188
