benchmark,split,document_id,source_record_id,image_size,word_count,entity_categories,wrapper_instruction,evaluation_slice
FUNSD,test,23,23,754x1000,98,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,24,24,754x1000,80,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,25,25,769x1000,154,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,26,26,777x1000,25,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,27,27,777x1000,94,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,28,28,802x1000,125,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,29,29,754x1000,210,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,30,30,754x1000,75,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,31,31,754x1000,134,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,32,32,754x1000,118,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,33,33,754x1000,80,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,34,34,780x1000,90,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,35,35,754x1000,199,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,36,36,802x1000,56,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,37,37,771x1000,194,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,38,38,768x1000,72,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,39,39,767x1000,76,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,40,40,771x1000,204,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,41,41,754x1000,158,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,42,42,770x1000,187,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,43,43,794x1000,198,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,44,44,777x1000,411,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,45,45,774x1000,433,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,46,46,802x1000,311,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,47,47,777x1000,354,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,48,48,802x1000,270,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
FUNSD,test,49,49,754x1000,310,ANSWER | HEADER | QUESTION,Protect privacy-bearing answer values while preserving question/header text and OCR-form structure for downstream reasoning.,form OCR matched transfer
